"","Country","Count","Ranks"
"1","Austria",12,1
"2","California",69,1
"3","Chicago",18,1
"4","Croatia",5,1
"5","Czech Republic",2,1
"6","Denmark",22,1
"7","Finland",6,1
"8","Greece",3,1
"9","Hong Kong",44,1
"10","Hungary",5,1
"11","Ireland",13,1
"12","Macau",11,1
"13","New York City",55,1
"14","Norway",7,1
"15","Poland",2,1
"16","Rio de Janeiro",5,1
"17","Sao Paulo",10,1
"18","Singapore",34,1
"19","South Korea",19,1
"20","Sweden",16,1
"21","Taipei",18,1
"22","Thailand",22,1
"23","United Kingdom",138,1
"24","Washington DC",13,1
"25","Austria",6,2
"26","California",14,2
"27","Chicago",3,2
"28","Denmark",5,2
"29","Greece",1,2
"30","Hong Kong",12,2
"31","Hungary",1,2
"32","Ireland",1,2
"33","Macau",5,2
"34","New York City",14,2
"35","Rio de Janeiro",1,2
"36","Sao Paulo",2,2
"37","Singapore",5,2
"38","South Korea",5,2
"39","Sweden",5,2
"40","Taipei",5,2
"41","Thailand",4,2
"42","United Kingdom",19,2
"43","Washington DC",2,2
"44","Austria",1,3
"45","California",7,3
"46","Chicago",1,3
"47","Denmark",1,3
"48","Hong Kong",7,3
"49","Macau",3,3
"50","New York City",5,3
"51","Norway",1,3
"52","South Korea",2,3
"53","Sweden",1,3
"54","Taipei",1,3
"55","United Kingdom",5,3
"56","Washington DC",1,3
