"","Country","Count"
"1","Andorra",1
"2","Austria",12
"3","Belgium",138
"4","Brazil",29
"5","Croatia",10
"6","Czech Republic",5
"7","Denmark",15
"8","Finland",2
"9","France",454
"10","Germany",294
"11","Greece",2
"12","Hong Kong",19
"13","Ireland",19
"14","Italy",213
"15","Japan",166
"16","Luxembourg",11
"17","Macau",2
"18","Malta",4
"19","Netherlands",115
"20","Norway",2
"21","Poland",5
"22","Portugal",23
"23","Serbia",1
"24","Singapore",16
"25","Slovenia",6
"26","South Korea",9
"27","Spain",215
"28","Sweden",12
"29","Switzerland",135
"30","Thailand",24
"31","United Kingdom",103
"32","United States",331
