"","X","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min_Price...","Max_Price...","Country"
"95",95,"Le Louis XV - Alain Ducasse à l'Hôtel de Paris","Monaco","Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,"3 MICHELIN Stars","Worthy of a special journey",224.77,449.54,"France"
"96",96,"Assiette Champenoise","Reims","Creative",4.0040608,49.2476571,"3 MICHELIN Stars","Worthy of a special journey",171.535,396.305,"France"
"97",97,"Les Prés d'Eugénie - Michel Guérard","Eugénie-les-Bains","Classic Cuisine",-0.379286,43.6967029,"3 MICHELIN Stars","Worthy of a special journey",313.495,348.985,"France"
"98",98,"Georges Blanc","Vonnas","Classic Cuisine",4.989383,46.219982,"3 MICHELIN Stars","Worthy of a special journey",295.75,378.56,"France"
"99",99,"La Vague d'Or - Cheval Blanc St-Tropez","Saint-Tropez","Creative, Modern Cuisine",6.6261535,43.2665849,"3 MICHELIN Stars","Worthy of a special journey",366.73,443.625,"France"
"100",100,"Mirazur","Menton","Creative",7.5281451,43.7860241,"3 MICHELIN Stars","Worthy of a special journey",449.54,449.54,"France"
"101",101,"René et Maxime Meilleur","Saint-Martin-de-Belleville","Creative, Regional Cuisine",6.5133065,45.3690463,"3 MICHELIN Stars","Worthy of a special journey",282.737,460.187,"France"
"102",102,"Alléno Paris au Pavillon Ledoyen","Paris","Creative",2.3164993,48.8660932,"3 MICHELIN Stars","Worthy of a special journey",331.24,467.285,"France"
"103",103,"Le 1947 - Cheval Blanc","Courchevel","Creative, Modern Cuisine",6.6338696,45.4094877,"3 MICHELIN Stars","Worthy of a special journey",419.965,467.285,"France"
"104",104,"AM par Alexandre Mazzia","Marseille","Creative",5.3862325,43.2701104,"3 MICHELIN Stars","Worthy of a special journey",207.025,455.455,"France"
"105",105,"Pic","Valence","Creative",4.8854965,44.9177848,"3 MICHELIN Stars","Worthy of a special journey",414.05,414.05,"France"
"106",106,"Troisgros - Le Bois sans Feuilles","Ouches","Creative",3.99236,46.01033,"3 MICHELIN Stars","Worthy of a special journey",153.79,390.39,"France"
"107",107,"Pierre Gagnaire","Paris","Creative",2.3003862,48.8732506,"3 MICHELIN Stars","Worthy of a special journey",141.96,473.2,"France"
"108",108,"Le Pré Catelan","Paris","Creative, Modern Cuisine",2.2507182,48.8639374,"3 MICHELIN Stars","Worthy of a special journey",177.45,390.39,"France"
"109",109,"L'Ambroisie","Paris","Classic Cuisine",2.3645215,48.855494,"3 MICHELIN Stars","Worthy of a special journey",390.39,390.39,"France"
"110",110,"Épicure","Paris","Modern Cuisine",2.3143664,48.8717289,"3 MICHELIN Stars","Worthy of a special journey",366.73,449.54,"France"
"111",111,"Christophe Bacquié","Le Castellet","Modern Cuisine",5.7835029,43.2502823,"3 MICHELIN Stars","Worthy of a special journey",307.58,348.985,"France"
"112",112,"Maison Lameloise","Chagny","Modern Cuisine",4.7530169,46.9079964,"3 MICHELIN Stars","Worthy of a special journey",100.555,307.58,"France"
"113",113,"Flocons de Sel","Megève","Creative",6.60007,45.82354,"3 MICHELIN Stars","Worthy of a special journey",248.43,331.24,"France"
"114",114,"Le Cinq","Paris","Modern Cuisine",2.3008612,48.8687604,"3 MICHELIN Stars","Worthy of a special journey",449.54,449.54,"France"
"115",115,"Guy Savoy","Paris","Creative",2.3391955,48.8566248,"3 MICHELIN Stars","Worthy of a special journey",295.75,626.99,"France"
"116",116,"Auberge du Vieux Puits","Fontjoncouse","Creative",2.7893292,43.0481728,"3 MICHELIN Stars","Worthy of a special journey",230.685,266.175,"France"
"117",117,"Arpège","Paris","Creative",2.3169648,48.855731,"3 MICHELIN Stars","Worthy of a special journey",218.855,544.18,"France"
