"","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min_Price","Max_Price","Country"
"1","Aqua","Wolfsburg","Creative, Modern Cuisine",10.789999,52.4331722,"3 MICHELIN Stars","Worthy of a special journey",266.175,266.175,"Germany"
"2","The Table Kevin Fehling","Hamburg","Creative",10.0029797,53.5426229,"3 MICHELIN Stars","Worthy of a special journey",272.09,272.09,"Germany"
"3","Restaurant Überfahrt Christian Jürgens","Rottach-Egern","Creative",11.7582292,47.6966846,"3 MICHELIN Stars","Worthy of a special journey",306.397,377.377,"Germany"
"4","Victor's Fine Dining by christian bau","Perl","Creative",6.3872109,49.5351732,"3 MICHELIN Stars","Worthy of a special journey",242.515,348.985,"Germany"
"5","Rutz","Berlin","Modern Cuisine, Creative",13.3860867,52.5283507,"3 MICHELIN Stars","Worthy of a special journey",234.234,289.835,"Germany"
"6","Restaurant Bareiss","Baiersbronn","Classic French",8.3269876,48.5205845,"3 MICHELIN Stars","Worthy of a special journey",177.45,396.305,"Germany"
"7","temporaire - Schwarzwaldstube","Baiersbronn","Classic French, Creative",8.3590633,48.5361528,"3 MICHELIN Stars","Worthy of a special journey",254.345,313.495,"Germany"
"8","schanz. restaurant.","Piesport","Modern French, Creative",6.9266002,49.8776003,"3 MICHELIN Stars","Worthy of a special journey",136.045,210.574,"Germany"
"9","Waldhotel Sonnora","Dreis","Classic French",6.8109342,49.9377323,"3 MICHELIN Stars","Worthy of a special journey",266.175,294.567,"Germany"
"10","L'Enclume","Cartmel","Creative",-2.9538566,54.2017254,"3 MICHELIN Stars","Worthy of a special journey",108.625,240.625,"United Kingdom"
"11","Fat Duck","Bray","Creative",-0.7017529,51.5078582,"3 MICHELIN Stars","Worthy of a special journey",378.125,515.625,"United Kingdom"
"12","Waterside Inn","Bray","Classic French",-0.6994376,51.5091092,"3 MICHELIN Stars","Worthy of a special journey",233.75,258.5,"United Kingdom"
"13","Restaurant Gordon Ramsay","London","French",-0.1621766,51.4854381,"3 MICHELIN Stars","Worthy of a special journey",165,302.5,"United Kingdom"
"14","Hélène Darroze at The Connaught","London","Modern Cuisine",-0.1492905,51.510188,"3 MICHELIN Stars","Worthy of a special journey",116.875,254.375,"United Kingdom"
"15","CORE by Clare Smyth","London","Modern British",-0.2030649,51.5126689,"3 MICHELIN Stars","Worthy of a special journey",171.875,268.125,"United Kingdom"
"16","Sketch (The Lecture Room & Library)","London","Modern French",-0.1415369,51.5126775,"3 MICHELIN Stars","Worthy of a special journey",171.875,343.75,"United Kingdom"
"17","Alain Ducasse at The Dorchester","London","French",-0.152575,51.5073381,"3 MICHELIN Stars","Worthy of a special journey",130.625,268.125,"United Kingdom"
"18","Amador","Vienna","Creative, Contemporary",16.3586003,48.2540114,"3 MICHELIN Stars","Worthy of a special journey",313.495,313.495,"Austria"
"19","Jade Dragon","Macau","Cantonese",113.56715,22.149137,"3 MICHELIN Stars","Worthy of a special journey",105.6,240,"Macau"
"20","Robuchon au Dôme","Macau","French Contemporary",113.54395,22.189949,"3 MICHELIN Stars","Worthy of a special journey",118.56,420,"Macau"
"21","The Eight","Macau","Cantonese",113.54341,22.190475,"3 MICHELIN Stars","Worthy of a special journey",336,360,"Macau"
"22","8 1/2 Otto e Mezzo - Bombana","Hong Kong","Italian",114.15867,22.2814635,"3 MICHELIN Stars","Worthy of a special journey",91,270.4,"Hong Kong"
"23","T'ang Court","Hong Kong","Cantonese",114.1698,22.296572,"3 MICHELIN Stars","Worthy of a special journey",182,237.9,"Hong Kong"
"24","Sushi Shikon","Hong Kong","Sushi",114.1577893,22.2806103,"3 MICHELIN Stars","Worthy of a special journey",260,455,"Hong Kong"
"25","Caprice","Hong Kong","French Contemporary",114.1566097,22.2866489,"3 MICHELIN Stars","Worthy of a special journey",96.85,338,"Hong Kong"
"26","Forum","Hong Kong","Cantonese",114.1821905,22.2813972,"3 MICHELIN Stars","Worthy of a special journey",260,260,"Hong Kong"
