"","Award","Min_Price...","Max_Price..."
"1","Bib Gourmand",0,0
"2","Bib Gourmand",5,5
"3","Bib Gourmand",5,5
"4","Bib Gourmand",5,25
"5","Bib Gourmand",5,45
"6","Bib Gourmand",5,30
"7","Bib Gourmand",10,10
"8","Bib Gourmand",10,35
"9","Bib Gourmand",10,35
"10","Bib Gourmand",10,10
"11","1 MICHELIN Star",10,25
"12","1 MICHELIN Star",10,15
"13","1 MICHELIN Star",10,15
"14","Bib Gourmand",10,75
"15","Bib Gourmand",10,20
"16","Bib Gourmand",10,35
"17","Bib Gourmand",10,50
"18","Bib Gourmand",10,15
"19","Bib Gourmand",10,40
"20","Bib Gourmand",10,70
"21","Bib Gourmand",10,35
"22","Bib Gourmand",10,25
"23","Bib Gourmand",10,40
"24","Bib Gourmand",10,50
"25","Bib Gourmand",10,60
"26","Bib Gourmand",10,15
"27","Bib Gourmand",10,25
"28","Bib Gourmand",10,15
"29","Bib Gourmand",10,35
"30","Bib Gourmand",10,15
"31","Bib Gourmand",10,70
"32","Bib Gourmand",10,25
"33","Bib Gourmand",10,40
"34","Bib Gourmand",10,25
"35","Bib Gourmand",10,15
"36","Bib Gourmand",10,25
"37","Bib Gourmand",10,40
"38","Bib Gourmand",10,25
"39","Bib Gourmand",10,15
"40","Bib Gourmand",10,15
"41","Bib Gourmand",10,70
"42","Bib Gourmand",10,40
"43","Bib Gourmand",10,50
"44","Bib Gourmand",10,15
"45","Bib Gourmand",10,40
"46","Bib Gourmand",10,15
"47","Bib Gourmand",10,15
"48","Bib Gourmand",10,15
"49","Bib Gourmand",10,20
"50","Bib Gourmand",10,35
"51","Bib Gourmand",10,15
"52","Bib Gourmand",10,15
"53","Bib Gourmand",10,45
"54","Bib Gourmand",10,40
"55","Bib Gourmand",10,10
"56","Bib Gourmand",10,10
"57","Bib Gourmand",10,65
"58","Bib Gourmand",10,10
"59","Bib Gourmand",10,25
"60","Bib Gourmand",10,30
"61","Bib Gourmand",10,50
"62","Bib Gourmand",10,20
"63","Bib Gourmand",10,35
"64","Bib Gourmand",10,50
"65","Bib Gourmand",10,30
"66","Bib Gourmand",10,50
"67","Bib Gourmand",10,10
"68","Bib Gourmand",10,60
"69","Bib Gourmand",10,50
"70","Bib Gourmand",10,45
"71","Bib Gourmand",10,45
"72","Bib Gourmand",10,55
"73","Bib Gourmand",10,45
"74","Bib Gourmand",10,50
"75","Bib Gourmand",15,50
"76","Bib Gourmand",15,70
"77","Bib Gourmand",15,75
"78","Bib Gourmand",15,50
"79","Bib Gourmand",15,50
"80","Bib Gourmand",15,25
"81","Bib Gourmand",15,35
"82","Bib Gourmand",15,60
"83","Bib Gourmand",15,45
"84","Bib Gourmand",15,70
"85","Bib Gourmand",15,35
"86","Bib Gourmand",15,70
"87","Bib Gourmand",15,25
"88","Bib Gourmand",15,75
"89","Bib Gourmand",15,70
"90","Bib Gourmand",15,25
"91","Bib Gourmand",15,60
"92","Bib Gourmand",15,40
"93","Bib Gourmand",15,35
"94","Bib Gourmand",15,70
"95","Bib Gourmand",15,50
"96","Bib Gourmand",15,75
"97","Bib Gourmand",15,60
"98","Bib Gourmand",15,15
"99","Bib Gourmand",15,15
"100","Bib Gourmand",15,15
"101","Bib Gourmand",15,85
"102","Bib Gourmand",15,45
"103","Bib Gourmand",15,45
"104","Bib Gourmand",15,35
"105","Bib Gourmand",15,35
"106","Bib Gourmand",15,50
"107","Bib Gourmand",15,55
"108","Bib Gourmand",15,40
"109","Bib Gourmand",15,55
"110","Bib Gourmand",15,65
"111","Bib Gourmand",15,45
"112","Bib Gourmand",15,30
"113","Bib Gourmand",15,60
"114","Bib Gourmand",15,55
"115","Bib Gourmand",15,50
"116","Bib Gourmand",15,120
"117","1 MICHELIN Star",15,75
"118","Bib Gourmand",15,40
"119","Bib Gourmand",15,45
"120","Bib Gourmand",15,55
"121","1 MICHELIN Star",15,125
"122","1 MICHELIN Star",15,140
"123","Bib Gourmand",15,40
"124","Bib Gourmand",15,50
"125","Bib Gourmand",15,45
"126","Bib Gourmand",15,75
"127","Bib Gourmand",15,60
"128","Bib Gourmand",15,45
"129","Bib Gourmand",15,70
"130","Bib Gourmand",15,50
"131","1 MICHELIN Star",15,160
"132","Bib Gourmand",15,40
"133","Bib Gourmand",15,50
"134","Bib Gourmand",15,65
"135","Bib Gourmand",15,35
"136","Bib Gourmand",15,70
"137","Bib Gourmand",15,35
"138","Bib Gourmand",15,25
"139","Bib Gourmand",15,70
"140","Bib Gourmand",15,40
"141","Bib Gourmand",15,40
"142","Bib Gourmand",15,75
"143","Bib Gourmand",15,70
"144","Bib Gourmand",20,30
"145","Bib Gourmand",20,60
"146","Bib Gourmand",20,70
"147","Bib Gourmand",20,50
"148","Bib Gourmand",20,40
"149","Bib Gourmand",20,45
"150","Bib Gourmand",20,55
"151","Bib Gourmand",20,65
"152","Bib Gourmand",20,45
"153","Bib Gourmand",20,45
"154","Bib Gourmand",20,55
"155","Bib Gourmand",20,70
"156","Bib Gourmand",20,40
"157","Bib Gourmand",20,55
"158","Bib Gourmand",20,70
"159","Bib Gourmand",20,55
"160","Bib Gourmand",20,65
"161","Bib Gourmand",20,40
"162","Bib Gourmand",20,35
"163","Bib Gourmand",20,50
"164","Bib Gourmand",20,55
"165","Bib Gourmand",20,60
