,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
0,Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",Wolfsburg,225.0,225.0,EUR,"Creative, Modern Cuisine",10.789999,52.4331722,495361606056,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,3 MICHELIN Stars,Worthy of a special journey,266.175,266.175
1,The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,230.0,230.0,EUR,Creative,10.0029797,53.5426229,494022867422,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,http://www.the-table-hamburg.de/,3 MICHELIN Stars,Worthy of a special journey,272.09000000000003,272.09000000000003
2,Restaurant Überfahrt Christian Jürgens,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",Rottach-Egern,259.0,319.0,EUR,Creative,11.7582292,47.6966846,4980226690,https://guide.michelin.com/en/bayern/rottach-egern/restaurant/restaurant-uberfahrt-christian-jurgens,http://www.althoffcollection.com,3 MICHELIN Stars,Worthy of a special journey,306.397,377.377
3,Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany",Perl,205.0,295.0,EUR,Creative,6.3872109,49.5351732,49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,3 MICHELIN Stars,Worthy of a special journey,242.51500000000001,348.985
4,Rutz,"Chausseestraße 8, Berlin, 10115, Germany",Berlin,198.0,245.0,EUR,"Modern Cuisine, Creative",13.3860867,52.5283507,493024628760,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://www.rutz-restaurant.de/,3 MICHELIN Stars,Worthy of a special journey,234.234,289.83500000000004
5,Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,150.0,335.0,EUR,Classic French,8.3269876,48.5205845,497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,http://www.bareiss.com,3 MICHELIN Stars,Worthy of a special journey,177.45000000000002,396.305
6,temporaire - Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany",Baiersbronn,215.0,265.0,EUR,"Classic French, Creative",8.3590633,48.5361528,4974424920,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/temporaire-schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,3 MICHELIN Stars,Worthy of a special journey,254.345,313.495
7,schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany",Piesport,115.0,178.0,EUR,"Modern French, Creative",6.9266002,49.8776003,49650792520,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,http://www.schanz-restaurant.de,3 MICHELIN Stars,Worthy of a special journey,136.04500000000002,210.574
8,Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,225.0,249.0,EUR,Classic French,6.8109342,49.9377323,49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,http://www.hotel-sonnora.de,3 MICHELIN Stars,Worthy of a special journey,266.175,294.567
9,L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,79.0,175.0,GBP,Creative,-2.9538566,54.2017254,441539536362,https://guide.michelin.com/en/cumbria/cartmel/restaurant/l-enclume,http://www.lenclume.co.uk,3 MICHELIN Stars,Worthy of a special journey,108.625,240.625
10,Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,275.0,375.0,GBP,Creative,-0.7017529,51.5078582,441628580333,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/fat-duck,http://www.thefatduck.co.uk,3 MICHELIN Stars,Worthy of a special journey,378.125,515.625
11,Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,170.0,188.0,GBP,Classic French,-0.6994376,51.5091092,441628620691,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/waterside-inn,http://www.waterside-inn.co.uk,3 MICHELIN Stars,Worthy of a special journey,233.75,258.5
12,Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London,120.0,220.0,GBP,French,-0.1621766,51.4854381,442073524441,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,3 MICHELIN Stars,Worthy of a special journey,165.0,302.5
13,Hélène Darroze at The Connaught,"Carlos Place, London, W1K 2AL, United Kingdom",London,85.0,185.0,GBP,Modern Cuisine,-0.1492905,51.510188,442031477200,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,3 MICHELIN Stars,Worthy of a special journey,116.875,254.375
14,CORE by Clare Smyth,"92 Kensington Park Road, London, W11 2PN, United Kingdom",London,125.0,195.0,GBP,Modern British,-0.2030649,51.5126689,442039375086,https://guide.michelin.com/en/greater-london/london/restaurant/core-by-clare-smyth,https://www.corebyclaresmyth.com/,3 MICHELIN Stars,Worthy of a special journey,171.875,268.125
15,Sketch (The Lecture Room & Library),"9 Conduit Street, London, W1S 2XG, United Kingdom",London,125.0,250.0,GBP,Modern French,-0.1415369,51.5126775,442076594500,https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,https://www.sketch.london/,3 MICHELIN Stars,Worthy of a special journey,171.875,343.75
16,Alain Ducasse at The Dorchester,"Park Lane, London, W1K 1QA, United Kingdom",London,95.0,195.0,GBP,French,-0.152575,51.5073381,442076298866,https://guide.michelin.com/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,https://www.alainducasse-dorchester.com/,3 MICHELIN Stars,Worthy of a special journey,130.625,268.125
17,Amador,"Grinzinger Straße 86, Vienna, 1190, Austria",Vienna,265.0,265.0,EUR,"Creative, Contemporary",16.3586003,48.2540114,436609070500,https://guide.michelin.com/en/vienna/wien/restaurant/amador,http://www.restaurant-amador.com/,3 MICHELIN Stars,Worthy of a special journey,313.495,313.495
20,Jade Dragon,"Estrada do Istmo, Macau",Macau,880.0,2000.0,MOP,Cantonese,113.56715,22.149137,85388682822,https://guide.michelin.com/en/macau-region/macau/restaurant/jade-dragon,https://www.cityofdreamsmacau.com/,3 MICHELIN Stars,Worthy of a special journey,105.6,240.0
